P_bars,H2OT_m_wtpc,CO2T_m_ppmw,ST_m_ppmw,Fe3Fet_m,S6St_m,logfO2,dFMQ,vapor_wt,O2_v_mf,CO2_v_mf,CO_v_mf,H2O_v_mf,H2_v_mf,S2_v_mf,SO2_v_mf,H2S_v_mf,CH4_v_mf,OCS_v_mf,CS_v_mf,H2OT_m_wtpc_norm,CO2T_m_ppmw_norm,ST_m_ppmw_norm,SUM_v_mf,XO2_BYDIFF_v_mf
4417.427036847768,2.11,11520.0,4690.0,0.29453988780823,0.9409104177014913,-6.725014666737946,1.2460186808144043,0.0,1.9210542877810496e-11,0.8976515401596358,0.007421175833165204,0.08038949171442766,0.00017505655010408805,5.843590629131206e-05,0.013353791132453992,0.0002385600363083125,1.7965166875896742e-10,0.0007092676643095038,62.82086010922053,1.0,1.0,1.0,0.9999973191955578,2.6808236527342544e-06
4400.0,2.109904879324254,11454.962690400258,4689.555707438528,0.2946569508506243,0.9407812448504975,-6.725521817920099,1.246812805166483,6.950793725882342e-05,1.932251677001873e-11,0.8971282712909576,0.007416688207806448,0.08079884025081543,0.00017617680645421472,5.901749434519011e-05,0.013468445567955862,0.0002410736150379225,1.7991247593768663e-10,0.0007114868838192835,62.26383453397224,0.999954919111021,0.9943544002083557,0.9999052681105604,1.000000000316427,-2.971045631738889e-10
4300.0,2.109310447458338,11084.071601311734,4686.75395077859,0.2953352412909546,0.9400422848911721,-6.728379289508149,1.251422326077499,0.00046678744338320187,1.9986663588940915e-11,0.8940287401387873,0.0073899375940644245,0.08320591257848514,0.00018278391797034367,6.247342360470135e-05,0.014149962133857422,0.0002560445483583685,1.8133830948069633e-10,0.0007241462197542295,59.13713046566418,0.9996731978475537,0.9621589931694214,0.9993078786308294,1.0000000007562069,-7.362201959182357e-10
4200.0,2.1086298291959262,10717.379488343428,4683.493384658437,0.29602969816090213,0.9392996357035683,-6.731098082820942,1.256170525263773,0.0008612118549995486,2.0691996686722825e-11,0.8907793479512751,0.0073612006876788245,0.08571649304209077,0.00018969952957786871,6.616557164268077e-05,0.014878293154789243,0.0002720310409515439,1.8260198985091268e-10,0.000736768818699912,56.11171218078607,0.999350629950676,0.930328080585367,0.9986126619740804,0.9999999999999999,2.0692114688358743e-11
4100.0,2.1078575241239115,10354.945137442028,4679.735053777443,0.29673365479751745,0.9385673314627612,-6.7337444347312,1.260991165852582,0.0012528623651422049,2.143852979626487e-11,0.8873762969879737,0.007331018833011349,0.08833721121733273,0.00019695905473451924,7.00699812254579e-05,0.015650234642043414,0.0002890449891609467,1.8375322887676486e-10,0.0007491640893261975,53.21044818522833,0.9989846085895315,0.8988667654029538,0.9978113121060646,1.0,2.1438406605511773e-11
4000.0,2.106987330899388,9996.756467520227,4675.435066461368,0.2974474631350312,0.9378471997498894,-6.736315217252807,1.265887375830042,0.001641911852796228,2.222968513043424e-11,0.8838094243749391,0.007299289382729909,0.09107523984506775,0.000204585652661979,7.419681641669281e-05,0.016468830985345784,0.00030715198269754413,1.8478257236018716e-10,0.000761280753128402,50.428998868600495,0.9985721947390466,0.8677739989166864,0.996894470460846,0.9999999999999996,2.2230106644371972e-11
3900.0,2.106012378125936,9642.801323751833,4670.54473124725,0.2981716171859366,0.937141080457861,-6.738805928019261,1.2708636575626553,0.002028549290748443,2.306932251094236e-11,0.8800675805443176,0.0072658910857526645,0.09393840162003232,0.00021260426879505517,7.855684045132488e-05,0.01733747923118643,0.00032642198418781184,1.8567896412347306e-10,0.0007730642165283459,47.762867450674804,0.9981101318132399,0.8370487260201245,0.9958517550633794,0.9999999999999999,2.306943525098859e-11
3800.0,2.104925030725111,9293.06853864472,4665.009965796841,0.29890667049949254,0.9364510065839783,-6.7412115096973135,1.2759250683836676,0.0024129810204934973,2.396175699584214e-11,0.8761386011042694,0.007230691068134097,0.09693524572493255,0.00022104202803527505,8.316084767252681e-05,0.01825987619638564,0.0003469286445978485,1.864304251005625e-10,0.0007844541755802092,45.20772582040511,0.9975948012915219,0.8066899773129097,0.9946716344982603,0.9999999999999999,2.396183251818229e-11
3700.0,2.1037167802035457,8947.548101624321,4658.77057323391,0.29965324370697294,0.9357792325852187,-6.7435262807871075,1.2810772897929406,0.0027954331505060004,2.491182739772004e-11,0.8720091923266102,0.007193543590160121,0.10007513480316607,0.0002299284673494074,8.801950783818483e-05,0.019240047916498193,0.00036874919823652483,1.8702397616171098e-10,0.0007953839782053878,42.75941245708855,0.9970221707125809,0.7766968838215557,0.9933412736106418,0.9999999999999998,2.4912072404958963e-11
3600.0,2.102378115516921,8606.23134258997,4651.759401357109,0.3004120348151301,0.9351282649644835,-6.74574384034354,1.2863267227355752,0.003176154373885331,2.5924978357256845e-11,0.8676647999749193,0.007154288510200846,0.1033683445910508,0.0002392957928551601,9.314317079401038e-05,0.020282383549575345,0.0003919642566172482,1.8744554224455236e-10,0.0008057799406168084,40.41392659812997,0.9963877324724746,0.7470686929331571,0.9918463542339251,1.0,2.5924928870324493e-11
