Sample,DCompress_SatP_bars,DCompress (IM)_SatP_bars,SulfurX_SatP_bars,MAGEC_SatP_bars,EVo_SatP_bars,VESIcal_Dixon_SatP_bars,VESIcal_Iacono_SatP_bars,VESIcal_MS_SatP_bars,VolFe_SatP_bars
MORB,1420.4,2068.1,1968.4530147835103,2157.3242280117697,1483.84113948,1324.424789643387,1959.2829944336704,2260.0,2194.257166547809
Kilauea,1051.0,1820.0,1593.2432068099706,1789.08953697793,1054.66574984,1654.2799900879556,1587.07279949289,1090.0,1688.5281292530226
Fogo,6473.0,4490.0,4306.781853456036,4331.09401511278,6546.17422966,5687.436137257431,4110.590554927051,4130.0,4417.427036847768
Fuego,3900.0,4844.0,4863.356746780031,5352.786451064029,4120.58110171,6706.181667804614,4870.997273105913,5730.0,5701.5647114238855
