Sample,sample,T_C,P_bars,SiO2_wtpc,TiO2_wtpc,Al2O3_wtpc,FeOT_wtpc,MnO_wtpc,MgO_wtpc,CaO_wtpc,Na2O_wtpc,K2O_wtpc,P2O5_wtpc,H2OT_wtpc,OH_wtpc,H2Omol_wtpc,H2_ppmw,CH4_ppmw,CO2T_ppmw,CO2mol_ppmw,CO2carb_ppmw,CO_ppmw,S2-_ppmw,S6+_ppmw,H2S_ppmw,H_H2OT/HT,H_H2/HT,H_CH4/HT,H_H2S/HT,C_CO2T/CT,C_CO/CT,C_CH4/CT,S2-/ST,S6St_m,H2S/ST,Fe3Fet_m,sulf_XFe,sulf_XCu,sulf_XNi,H2OT_m_wtpc,CO2T_m_ppmw,ST_m_ppmw,X_ppmw,SCSS_ppm,sulfide saturated,SCAS_ppm,anhydrite saturated,ST melt if sat,graphite saturated,Pvsat (H2O CO2 only),xg_H2O (H2O CO2 only),xg_CO2 (H2O CO2 only),f_H2O (H2O CO2 only),f_CO2 (H2O CO2 only),p_H2O (H2O CO2 only),p_CO2 (H2O CO2 only),Pvsat_diff_bar,fO2_DNNO,dFMQ,fO2_bar,fH2_bar,fH2O_bar,fS2_bar,fSO2_bar,fH2S_bar,fCO2_bar,fCO_bar,fCH4_bar,fOCS_bar,fX_bar,pO2_bar,pH2_bar,pH2O_bar,pS2_bar,pSO2_bar,pH2S_bar,pCO2_bar,pCO_bar,pCH4_bar,pOCS_bar,pX_bar,O2_v_mf,H2_v_mf,H2O_v_mf,S2_v_mf,SO2_v_mf,H2S_v_mf,CO2_v_mf,CO_v_mf,CH4_v_mf,OCS_v_mf,xgX_mf,CS_v_mf,yO2,yH2,yH2O,yS2,ySO2,yH2S,yCO2,yCO,yCH4,yOCS,yX,M_m_SO,M_m_ox,C_H2O_mf_bar,C_H2_ppm_bar,C_CO2T_mf_bar,C_CO_ppm_bar,C_CH4_ppm_bar,C_S_ppm,C_SO4_ppm_bar,C_H2S_ppm_bar,C_X_ppm_bar,KHOg,KHOSg,KCOg,KCOHg,KOCSg,KSOg,KSOg2,KHOm,KCOm,KCOs,density_gcm3,setup opt,COH_species opt,H2S_m opt,species X opt,Hspeciation opt,fO2 opt,NNObuffer opt,FMQbuffer opt,carbon dioxide opt,water opt,hydrogen opt,sulfide opt,sulfate opt,hydrogen sulfide opt,methane opt,carbon monoxide opt,species X solubility opt,Cspeccomp opt,Hspeccomp opt,SCSS opt,SCAS opt,sulfur_saturation opt,sulfur_is_sat opt,graphite_saturation opt,ideal_gas opt,y_CO2 opt,y_SO2 opt,y_H2S opt,y_H2 opt,y_O2 opt,y_S2 opt,y_CO opt,y_CH4 opt,y_H2O opt,y_OCS opt,y_X opt,KHOg opt,KHOSg opt,KOSg opt,KOSg2 opt,KCOg opt,KCOHg opt,KOCSg opt,KCOs opt,carbonylsulfide opt,density opt,Date,logfO2,vapor_wt
MORB,MORB,1100.0,2194.257166547809,48.715416064422875,1.0380289077018379,18.12953458600041,8.201456122238282,0.0,7.841743134420813,12.785227338426598,2.7235411934751186,0.030832541812925874,0.08222011150113566,0.19971528256887794,0.0,0.19971528256887433,0.049628701616589534,6.832795000892862e-08,1053.663622449433,0.0,1053.6636224494328,29.491284281426267,1415.501467997583,0.22085511387691456,4.546666177601039,0.99857641284439,0.0002217413342318603,7.672679794370438e-11,0.0012018457446514076,0.9578760204085752,0.04212397942102782,1.703968738528239e-10,0.9968320197166078,0.00015553177033585534,0.003012448513056344,0.1,1.0,0.0,0.0,0.2,1100.0,1419.9999999999998,0.0,1077.1585656489992,True,3941.89735447832,False,1077.3260923489431,False,2084.076851341585,0.0016752674956936546,0.9983235243424179,3.458024639086567,3498.396140440734,3.491386207580134,2080.5829472317805,-110.1803152062239,-1.6504597252581803,-1.00657501394409,4.243041511223717e-11,0.15926987618857621,3.448147852336877,0.15660674292314014,0.16872334599837566,0.4444443966374427,3421.059679654832,325.73807628812114,8.270579525784893e-06,45.567062354251675,0.0,2.7512309626133032e-11,0.12030660904318678,3.4691972927328925,0.10511833472630942,0.11315735434012812,0.2690031825773296,1978.0978478186332,190.11576628420107,4.6414108720968495e-06,21.958370146484935,0.0,1.2538325063063472e-14,5.4827943997313365e-05,0.001581034960542445,4.790611434651959e-05,5.156977772033751e-05,0.00012259419118158704,0.9014886121715369,0.08664242696005742,2.1152538284284652e-09,0.010007199922255102,0.0,97.12183867718568,1.542233846915343,1.3238663898456542,0.9939324752616092,1.489813773504766,1.4910506434361075,1.6521901056307373,1.7294693907217173,1.7133669797863076,1.781910663308395,2.0751568559174682,1.0,36.034312204874446,62.87879532300756,4.6114e-06,0.3116013071915052,2.5172835646314376e-07,0.09053680373350244,0.008261567378187342,0.023299346268168167,2019232418410032.0,10.23,0.0799,3323637.0897712884,2.1216071351208363e-06,1612328.3221583106,2.7317560041853535e+30,0.010934739196032446,10048301789.505186,671809246.0692647,0.7076613578497928,infinite,1551037957536967.2,2.6896359420474867,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_Hughes25,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2026-06-22 16:48:05.726625,-10.372322719351176,
Kilauea,Kilauea,1200.0,1688.5281292530226,50.124490963855415,2.33694578313253,12.773306224899597,11.325198795180722,0.17976506024096384,9.21795281124498,10.426373493975904,2.3868805220883536,0.4294387550200803,0.2696475903614458,0.2996553050387486,0.0,0.29965530503842225,0.0242610718231312,1.345120829207923e-10,791.6149171960055,0.0,791.6149171960055,5.336775871516031,1362.1109533228878,132.14057676417133,6.10994575025984,0.9988510167958289,7.226574221126136e-05,1.0069750769050154e-13,0.00107671746185909,0.989518646495007,0.010481353504531821,4.612402805944298e-13,0.9080739688819259,0.08809371784278096,0.003832313275293083,0.18,1.0,0.0,0.0,0.3,800.0,1500.0,0.0,1984.4960537700822,False,7342.938517868633,False,1500.0,False,1622.6604510430238,0.004855054951232046,0.9951416796427361,7.979726969425343,2362.8073759241806,7.878105657004859,1614.7770467407945,-65.86767820999876,-0.16697739749752216,0.4975964406912592,2.102792485689788e-08,0.07350213448365603,7.961434005764646,4.0345926337015605,49.20766052733576,0.5972576490967583,2367.1428494703873,54.273685979563204,1.4071685421636433e-08,22.27990107242483,0.0,1.535828551179096e-08,0.060202008887452516,7.843846898849592,3.021755496589014,34.646169221869265,0.3351258698774487,1592.7299984802223,36.71415320729077,9.262474239289555e-09,13.169568853344714,0.0,9.095664588415957e-12,3.5653542185338014e-05,0.004645375320054385,0.00178957960145194,0.02051856206695009,0.0001984721865579479,0.9432653036019129,0.02174328787968283,5.485531498599981e-12,0.007799437051232731,0.0,30.309671851020568,1.3691583504391938,1.220924946558977,1.0149909997519584,1.3351816976111557,1.4202915252251043,1.7821890303937677,1.4862172821062622,1.4782769378645353,1.519214527145152,1.6917714862598816,1.0,36.53439286483115,61.83745965286474,4.6114e-06,0.33007302432184327,2.7680398946909326e-07,0.09833081677049897,0.00955905983472088,0.09833561717845289,21574549097650.547,10.23,0.0799,746952.766682889,5.4158768882830514e-06,300771.6797348314,2.411393663889425e+28,0.06301420745932182,1165028248.616522,44299024.64263701,0.7891603087332366,infinite,137922400230021.23,2.689817195470535,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_Hughes25,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2026-06-22 16:48:05.938979,-7.677203583598301,
Fogo,Fogo,1200.0,4417.427036847768,41.86037944826172,3.2185103066352174,11.027840529176498,11.847277202338223,0.13821823402727929,9.428458106860838,13.14060496359348,3.3172376166547024,1.5500187673059174,0.7404548251461389,2.107616811626023,0.0,2.1076168112422993,0.3361939315031192,1.219187497408092e-08,11510.42482913582,0.0,11510.424829135778,6.094220158807614,240.06466895535976,4412.8698587900935,39.39622658202901,0.9988705268434774,0.00014238070967962702,1.2976773479301448e-12,0.0009870924455452946,0.9991688219735952,0.0008311780235015404,2.903179831667276e-12,0.05118649658163467,0.9409104177014913,0.007903085716874009,0.29453988780823,1.0,0.0,0.0,2.11,11520.0,4690.0,0.0,2302.7867661226155,False,10030.806410072568,False,4690.0,False,4344.953826625304,0.08233155952941053,0.9176729769522334,419.0731164523949,11216.290156525467,357.7268246293413,3987.246712799241,-72.47321022246433,0.6999999999999993,1.2460186808144043,1.8835854770741878e-07,1.2898649180649442,418.14801334192776,0.5446853271763706,161.95509952908068,3.851048541742815,11350.933271250222,86.95648230860817,2.3198123926353813e-06,13.11592413155489,0.0,8.486117150096342e-08,0.7732995374070946,355.1147141777624,0.2581363523739445,58.989397992920246,1.053821554299725,3965.310183169215,32.782502770625236,7.935981387906822e-07,3.133138156682669,0.0,1.9210542877810496e-11,0.00017505655010408805,0.08038949171442766,5.843590629131206e-05,0.013353791132453992,0.0002385600363083125,0.8976515401596358,0.007421175833165204,1.7965166875896742e-10,0.0007092676643095038,0.0,62.82086010922053,2.2196081479417282,1.6680016677494918,1.1775012317079385,2.11006827270621,2.74549503876134,3.65436494065817,2.862558727291835,2.6525272617844644,2.9231575519700788,4.186193993258785,1.0,38.37253275791599,61.890368993178114,4.6114e-06,0.2606427438987001,8.648530290823689e-07,0.07008356360574998,0.005255543514116048,0.14117184050339962,73142581058233.73,10.23,0.0799,746952.766682889,5.4158768882830514e-06,300771.6797348314,2.411393663889425e+28,0.06301420745932182,1165028248.616522,44299024.64263701,0.7891603087332366,infinite,154559084344419.62,2.643220323307442,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,Leucitite_Thibault94,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_Hughes25,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2026-06-22 16:48:06.290474,-6.725014666737946,
Fuego,Fuego,1030.0,5701.5647114238855,50.96860050093925,1.0498778960551034,17.263558234189105,9.330046963055729,0.18818566061365058,3.743904195366312,7.913702254226675,3.4368644333124614,0.7725516593613025,0.23770820288040073,4.470937353681484,0.0,4.470937353681484,0.6311379140702094,2.2168670491393243e-07,3294.4845096444833,0.0,3294.484509644484,3.5103925975217782,189.61787093481428,1953.2119590312266,539.0620933898081,0.993541634151441,0.00012533013141506638,1.1063838126769013e-11,0.006333035706080128,0.998328639286207,0.001671360529511494,1.8428145186623928e-10,0.07155391356030723,0.7370611166155567,0.191384969824136,0.24,1.0,0.0,0.0,4.5,3300.0,2650.0,0.0,426.5043269864285,True,3324.43195784347,False,1569.740579983412,False,5645.816807076862,0.23631781617823416,0.7636863469347562,1578.8864629523634,19454.270562378697,1334.2070983907747,4311.633212859378,-55.747904347023905,0.9682041193551942,1.4408531685581814,2.5053048993173174e-09,2.8859734470406933,1559.4050269758707,2.797293011685155,231.63395299048582,52.69424177808485,19631.45308185334,64.42094376471694,6.579194894020522e-05,58.75837559934823,0.0,8.026069128751632e-10,1.3616093155124007,1311.5175048900635,0.949897023279436,64.30920219275558,12.994959112128939,4286.767862417877,16.16430188893566,1.4211026849135896e-05,7.475786079564092,0.0,1.4076958756024073e-13,0.0002388132704666537,0.2300276452641595,0.00016660286629320965,0.01127921990675701,0.002279191725403329,0.751858144103624,0.0028350641809867056,2.4924783929334535e-09,0.0013111814840205715,0.0,49.72797441981598,3.1214594082458276,2.1195312151302694,1.1890081689047574,2.944838169960515,3.6018788150442855,4.054975573482359,4.579546574929429,3.9853836068734014,4.629640745785074,7.859825705817199,1.0,35.64234075935116,64.88678652738679,4.6114e-06,0.21869151801011358,1.302941951450897e-07,0.05449148044683574,0.003369511140571494,0.005674669589640937,9312998070233112.0,10.23,0.0799,10795339.504427403,1.0112663203758268e-06,6088286.339489116,1.1560493642833737e+32,0.002734694352057105,55280587625.43854,5788975998.651792,0.6491793866596173,infinite,1.1343494961348878e+16,2.4032645538310327,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_Hughes25,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2026-06-22 16:48:06.792073,-8.60113941229849,
