Sample,P_bars,dFMQ,fo2,F,rho_bulk,rho_melt,Exsol_vol%,Gas_wt,mol_mass,H2O_v_mf,H2_v_mf,O2_v_mf,CO2_v_mf,CO_v_mf,CH4_v_mf,SO2_v_mf,H2S_v_mf,S2_v_mf,mN2,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,fH2O,fH2,fCO2,fCO,fCH4,fSO2,fH2S,fS2,fN2,mCO2/CO,mCO2/H2O,mCO2/SO2,mH2S/SO2,H2O_melt,H2_melt,CO2_melt,CO_melt,CH4_melt,graph_melt,S2-_melt,S6+_melt,Stot_melt,N_melt,tot_H,tot_C,tot_O_gas,tot_O,tot_S,tot_N,logfO2,vapor_wt,H2OT_m_wtpc,CO2T_m_ppmw,ST_m_ppmw,S6St_m,Fe3Fet_m,OCS_v_mf,CS_v_mf,NNO
MORB,1483.84113948,-1.2874417560400513,1.9493987657988253e-11,0.0558881348059289,2699.319410651793,2699.3195444357552,4.957210640945012e-06,1e-06,0.041896864299925,0.0048568997218719,0.0002626426198546,9.768058491769844e-15,0.871052206760908,0.1232421215815358,4.1366141191493e-08,2.816447302285433e-05,0.0005106493491866,4.727412746917672e-05,0.0,0.0020884237969475,1.2640386996119826e-05,7.460370967834077e-15,0.9149747298275196,0.0823933773420163,1.5839283706626074e-08,4.306582836187964e-05,0.000415386198526,7.236078034135184e-05,0.0,7.043451414874285,0.4728332506131875,1918.2326489586808,264.584033078384,9.09244961318036e-05,0.052258952995534,1.034074662980987,0.0920219553173694,0.0,7.067812494485728,179.34325529479838,30927.339064859636,18.130974748657337,0.2,4.828929554927333e-06,0.11,0.0020111514840755,1.258172711212927e-10,0.0,0.1418121057545208,0.0001878942454791,0.142,0.0,223.84475899524853,308.55420272234,2587.4954898629976,22396.03896542098,1420.000004847472,0.0,-10.710099313231325,1e-08,0.2,1100.0,1419.9999999999998,0.001323198911824648,0.09927046695591288,0.0,1569.8672301097472,
Kilauea,1054.66574984,0.4457897588256605,1.6736293301469077e-08,0.1113762351402197,2696.4278940535496,2696.4280880930182,7.197167002137455e-06,1e-06,0.0435104325532354,0.0136096991328248,0.0001213608238529,1.2988374901719027e-11,0.9488707850028724,0.02440553377852,3.0406182606989096e-11,0.012012385012567,0.0003443206775184,0.0006359155284495,0.0,0.0056350288012791,5.624213570336104e-06,9.552017445393606e-12,0.9597543936500968,0.0157112076707886,1.121090175042055e-11,0.0176867704090629,0.0002696997249491,0.0009372755094901,0.0,14.34914393242772,0.1453147727804175,1321.1566806786363,33.02801756403755,4.178178863030356e-08,15.482335494932023,0.5486833262879592,0.8061728867507777,0.0,38.879329319893834,69.72018820859282,78.99103999831748,0.0286638063264058,0.3,1.0676934453563017e-06,0.08,0.0003428998216543,5.781625848877677e-14,0.0,0.051682256185316,0.0983177438146839,0.15,0.0,335.7056195149516,219.60644593060903,3247.9415973658924,31461.823139607903,1500.0001004385924,0.0,-7.776340721789075,1e-08,0.3,800.0,1500.0,0.655451625431226,0.17715043194822402,0.0,71.41458667799802,
Fogo,6546.17422966,,2.1951123453586842e-07,0.1759300726641927,2882.9465022948216,2882.94653873636,1.2650379472253494e-06,1e-06,0.0426409117715588,0.0483148343624056,8.834008399055183e-05,1.0870111777437647e-11,0.9422932986173544,0.0081820632960241,1.7229616636826366e-10,0.001101862625799,1.8485550145080624e-05,1.1152811148435805e-06,0.0,0.0204124450681402,4.1774187736144845e-06,8.157202045943873e-12,0.9725368244391188,0.0053746601938476,6.482181393706685e-11,0.0016554408419978,1.4774632859719554e-05,1.6773322830921287e-06,0.0,440.1446077944876,1.2307799816351763,30015.852735912336,207.1954101785445,5.1919108661425646e-06,33.34111403910445,0.7630246675583857,0.0217330413038048,0.0,115.16573076075296,19.503188017768796,855.1821947259731,0.0167766377697721,2.11,1.5384141675535094e-05,1.152,0.000861067338889,7.183633291776188e-12,0.0,0.0062755474953119,0.462724452504688,0.4689999999999998,0.0,2361.2086676233876,3144.8316139567223,27119.929826703938,66816.08031309188,4690.000008441801,0.0,-6.65854324775864,1e-08,2.11,11520.0,4689.999999999998,0.9866193017157531,0.26027851072043684,0.0,846.6892608637199,0.7000000000000002
Fuego,4120.58110171,1.1530486665640378,9.497382174922467e-10,0.1607193801738597,2660.541094468477,2660.5411488526765,2.045102947407366e-06,1e-06,0.0342077713724024,0.3834684487619901,0.0006865398885656,9.927882799734269e-14,0.5659133337678489,0.0031449209809786,1.3887576561405082e-08,0.0214153384200368,0.0231145934869074,0.0022568108059964,0.0,0.2019509368326242,4.046855365797424e-05,9.286788451481213e-14,0.7280673912171023,0.0025751327150291,6.512889850698682e-09,0.0401063238682773,0.0230288514940091,0.0042308888063171,0.0,1662.907972997161,4.94043894416259,6943.7051695217715,36.549747608150575,0.0001770881505145,207.4757061231514,246.10285099929797,20.35049491914138,0.0,179.9451678406699,1.475775479299206,26.42560778952539,1.0793475701173465,4.5,9.874811712375584e-05,0.33,0.0002552272887107,2.450342314289108e-10,0.0,0.0996333957334751,0.1653666042665248,0.265,0.0,5036.4020008280195,900.9011586562416,42365.43162955315,65097.28358150424,2650.000459729039,0.0,-9.022396085622509,1e-08,4.5,3300.0,2650.0,0.624024921760471,0.23579575263608027,0.0,11.603120651048988,
